Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
417,Kennedy,Starlink,"~16,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"December 31, 2024",05:39
418,Cape Canaveral,Thuraya 4-NGS,"5,000 kg",GTO,Thuraya,"Success
",F9B5,Success (,"January 4, 2025",01:27
419,Cape Canaveral,Starlink,"~17,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"January 6, 2025",20:43
420,Kennedy,Starlink,"~16,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"January 8, 2025",15:27
421,Vandenberg,Starshield,U,LEO,NRO,"Success
",F9B5,Success (,"January 10, 2025",03:53
422,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"January 10, 2025",19:11
423,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"January 13, 2025",16:47
424,Vandenberg,Transporter-12,"2,000 kg",SSO,,"Success
",F9B5,Success (,"January 14, 2025",19:09
425,Kennedy,Blue Ghost Mission 1,"2,517 kg",TLI,Firefly Aerospace,"Success
",F9B5,Success (,"January 15, 2025",06:11
426,Kennedy,Starlink,"~15,300 kg",LEO,SpaceX,"Success
",F9B5,Success (,"January 21, 2025",05:24
427,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"January 21, 2025",15:45
428,Vandenberg,Starlink,"~17,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"January 24, 2025",14:07
429,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"January 27, 2025",22:05
430,Kennedy,Spainsat NG,"6,100 kg",GTO,Hisdesat,"Success
",F9B5,"No attempt
","January 30, 2025",01:34
431,Vandenberg,Starlink,"~16,700 kg",LEO,SpaceX,"Success
",F9B5,Success (,"February 1, 2025",23:02
432,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"February 4, 2025",10:15
433,Kennedy,WorldView Legion,"1,500 kg",LEO,Maxar Technologies,"Success
",F9B5,Success (,"February 4, 2025",23:13
434,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"February 8, 2025",19:18
435,Vandenberg,Starlink,"~17,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"February 11, 2025",02:09
436,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"February 11, 2025",18:53
437,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"February 15, 2025",06:14
438,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"February 18, 2025",23:21
439,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"February 21, 2025",15:19
440,Vandenberg,Starlink,"~16,800 kg",LEO,SpaceX,"Success
",F9B5,Success (,"February 23, 2025",01:38
441,Kennedy,IM-2,U,TLI,NASA,"Success
",F9B5,Success (,"February 27, 2025",00:16
442,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,"Success
",F9B5[,Success (,"February 27, 2025",03:34
443,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,"Success
",F9B5,Failure (,"March 3, 2025",02:24
444,Vandenberg,SPHEREx,758 kg,SSO,NASA,"Success
",F9B5,Success (,"March 12, 2025",03:10
445,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"March 13, 2025",02:35
446,Kennedy,Crew-10,"~13,000 kg",LEO,NASA,"Success
",F9B5,Success (,"March 14, 2025",23:03
447,Vandenberg,Transporter-13,U,SSO,,"Success
",F9B5,Success (,"March 15, 2025",06:43
448,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"March 15, 2025",11:35
449,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"March 18, 2025",19:57
450,Vandenberg,NROL-57,U,LEO,NRO,"Success
",F9B5,Success (,"March 21, 2025",06:49
451,Cape Canaveral,NROL-69,U,LEO,USSF,"Success
",F9B5,Success (,"March 24, 2025",17:48
452,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"March 26, 2025",22:11
453,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"March 31, 2025",19:52
454,Kennedy,Fram2,"~13,000 kg",Polar,Chun Wang,"Success
",F9B5,Success (,"April 1, 2025",01:46
455,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"April 4, 2025",01:02
456,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"April 6, 2025",03:07
457,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"April 7, 2025",23:06
458,Vandenberg,NROL-192,U,LEO,NRO,"Success
",F9B5,Success (,"April 12, 2025",12:25
459,Kennedy,Starlink,"~16,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"April 13, 2025",00:53
460,Cape Canaveral,Starlink,"~15,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"April 14, 2025",04:00
461,Vandenberg,NROL-145,U,LEO,NRO,"Success
",F9B5,Success (,"April 20, 2025",12:29
462,Kennedy,SpaceX CRS-32,"3,021 kg",LEO,NASA,"Success
",F9B5,Success (,"April 21, 2025",08:15
463,Cape Canaveral,Bandwagon-3,U,LEO,Republic of Korea Armed Forces,"Success
",F9B5,Success (,"April 22, 2025",00:48
464,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"April 25, 2025",01:52
465,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"April 28, 2025",02:09
466,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"April 28, 2025",20:42
467,Kennedy,Starlink,"~17,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"April 29, 2025",02:34
468,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"May 2, 2025",01:51
469,Kennedy,Starlink,"~16,675 kg",LEO,SpaceX,"Success
",F9B5,Success (,"May 4, 2025",08:54
470,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"May 7, 2025",01:17
471,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,"Success
",F9B5,Success (,"May 10, 2025",00:19
472,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"May 10, 2025",06:28
473,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,"Success
",F9B5,Success (,"May 13, 2025",01:15
474,Kennedy,Starlink,"~16,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"May 13, 2025",05:02
475,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"May 14, 2025",16:38
476,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,"Success
",F9B5,Success (,"May 16, 2025",13:43
477,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"May 21, 2025",03:19
478,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"May 23, 2025",22:32
479,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"May 24, 2025",17:19
480,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,"Success
",F9B5,Success (,"May 27, 2025",16:57
481,Kennedy,Starlink,"~15,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"May 28, 2025",13:30
482,Cape Canaveral,GPS III,"4,350 kg",MEO,USSF,"Success
",F9B5,Success (,"May 30, 2025",17:37
483,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"May 31, 2025",20:10
484,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"June 3, 2025",04:43
485,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"June 4, 2025",23:40
486,Cape Canaveral,SXM-10,"6,400 kg",GTO,Sirius XM,"Success
",F9B5,Success (,"June 7, 2025",04:54
487,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,"Success
",F9B5,Success (,"June 8, 2025",14:20
488,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"June 10, 2025",13:05
489,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,"Success
",F9B5,Success (,"June 13, 2025",01:54
490,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"June 13, 2025",15:29
491,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,"Success
",F9B5,Success (,"June 17, 2025",03:36
492,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"June 18, 2025",05:55
493,Cape Canaveral,Starlink,"~15,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"June 23, 2025",05:58
494,Vandenberg,Transporter-14,U,SSO,,"Success
",F9B5,Success (,"June 23, 2025",21:25
495,Kennedy,Axiom Mission 4,"~13,000 kg",LEO,Axiom Space,"Success
",F9B5,Success (,"June 25, 2025",06:31
496,Cape Canaveral,Starlink,"~15,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"June 25, 2025",19:54
497,Cape Canaveral,Starlink,"~15,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"June 28, 2025",04:26
498,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,"Success
",F9B5,Success (,"June 28, 2025",17:13
499,Kennedy,MTG-S1,"3,800 kg",GTO,EUMETSAT,"Success
",F9B5,Success (,"July 1, 2025",21:04
500,Cape Canaveral,Starlink,"~15,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"July 2, 2025",06:28
501,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"July 8, 2025",08:21
502,Cape Canaveral,Dror-1,"4,000 kg",GTO,IAI,"Success
",F9B5,Success (,"July 13, 2025",05:04
503,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,"Success
",F9B5,Success (,"July 16, 2025",02:05
504,Cape Canaveral,KuiperSat,"~14,784 kg",LEO,Amazon,"Success
",F9B5,Success (,"July 16, 2025",06:30
505,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,"Success
",F9B5,Success (,"July 19, 2025",03:52
506,Cape Canaveral,O3b mPOWER,"3,400 kg",MEO,SES,"Success
",F9B5,Success (,"July 22, 2025",21:12
507,Vandenberg,TRACERS,~920 kg,SSO,NASA,"Success
",F9B5,Success (,"July 23, 2025",18:13
508,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"July 26, 2025",09:01
509,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,"Success
",F9B5,Success (,"July 27, 2025",04:31
510,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"July 30, 2025",03:37
511,Vandenberg,Starlink,"~14,060 kg",SSO,SpaceX,"Success
",F9B5,Success (,"July 31, 2025",18:35
512,Kennedy,Crew-11,"~13,000 kg",LEO,NASA,"Success
",F9B5,Success (,"August 1, 2025",15:43
